run_id,SampleID,Group,Time,Treat,Batch,Health
SRR16972426,WT_3M_1,WT,3M,WT_3M,B01,healthy
SRR16972427,WT_3M_2,WT,3M,WT_3M,B01,healthy
SRR16972429,WT_6M_1,WT,6M,WT_6M,B02,healthy
SRR16972430,WT_6M_2,WT,6M,WT_6M,B02,healthy
SRR16972431,WT_6M_3,WT,6M,WT_6M,B02,healthy
SRR16972432,WT_6M_4,WT,6M,WT_6M,B03,healthy
SRR16972433,WT_6M_5,WT,6M,WT_6M,B03,healthy
SRR16972434,MU_3M_1,MU,3M,MU_3M,B01,healthy
SRR16972435,MU_3M_2,MU,3M,MU_3M,B01,healthy
SRR16972425,MU_6M_1,MU,6M,MU_6M,B02,healthy
SRR16972428,MU_6M_2,MU,6M,MU_6M,B02,healthy
SRR16972436,SMU_6M_1,SMU,6M,SMU_6M,B03,sick
SRR16972437,SMU_6M_2,SMU,6M,SMU_6M,B03,sick
